tip,tip_pr,tip_pol,tip_sub
have multiple ways to pay,multiple way pay,0.0,0.0
stay flexible,stay flexible,0.0,0.0
Watch your belongings.,watch,0.0,0.0
Walking will take you places cars can not.,walking place car,0.0,0.0
You can have a great trip for cheap,trip cheap,0.4,0.7
Walk a lot,walk lot,0.0,0.0
"Explore, live, socialize and have fun",explore live fun,0.21818181818181817,0.35
Don't rush,rush,0.0,0.0
do it,,0.0,0.0
Pay attention to your sourrendings,pay,0.0,0.0
Don't book too much in advance ,book much,0.2,0.2
Meeting a lovely elder couple in Naples,couple,0.0,0.0
"Plan ahead but not too much, enjoy the moment",plan much enjoy moment,0.4,0.5
Be open to people,open people,0.0,0.5
Buy toiletries at the airport -saves space/weight,buy toilet airport save,-0.03333333333333333,0.0
try all the food,food,0.0,0.0
Be confident,,0.0,0.0
Slow down,slow,-0.30000000000000004,0.39999999999999997
"GPS works without WiFi, so download maps before you go.",gas work without download map,0.0,0.0
Take more money than you think you need.,money think need,0.0,0.0
Do things you might regret,might regret,0.0,0.0
"Don't overbook, leave time for spontaneity",leave time spontaneity,0.0,0.0
don't rush,rush,0.0,0.0
Rent a car and explore,rent car explore,0.0,0.0
"stop dreaming or delaying,  start traveling",stop start traveling,0.0,0.0
Don’t be a dick. Use your braIn. All is fine.,use fine,0.4166666666666667,0.5
Get out of your comfort zone,comfort zone,0.0,0.0
Don't be a sucker.,,0.0,0.0
"Have fun, take risks, but plan for failures",fun risk plan,0.3,0.2
Be flexible and see something no one else has,flexible see something one,0.0,0.0
Put your phone away,put phone away,0.0,0.0
Get off the beaten track,beaten,0.0,0.0
Have an open mind and good shoes,open mind good shoe,0.35,0.55
"Pack light, stay curious, say yes",pack light stay curious say yes,0.15000000000000002,0.85
You won't go back so see what you want now.,wont back see want,0.0,0.0
"think less, just go",think le,0.0,0.0
Bali,,0.0,0.0
Plan ahead ,plan,0.0,0.0
Use local Facebook pages for food recommendations,use local food,0.0,0.0
Be cautious,,0.0,0.0
Pick the destination you want,pick destination want,0.0,0.0
Road trip California,trip,0.0,0.0
"Wherever you go, you take yourself - don't let your own baggage weight down the experience.",let weight experience,0.0,0.0
Be open to new experiences,open new experience,0.06818181818181818,0.4772727272727273
Get lost,lost,0.0,0.0
Always carry band aids.,carry,0.0,0.0
"Get out of the ""classic-touristic-route""",,0.0,0.0
"Be prepared, relax and enjoy",prepared relax enjoy,0.4,0.5
"Pack light, travel slow, and walk everywhere",pack light travel slow walk,0.04999999999999999,0.5499999999999999
"Drink bottled water, don't risk Delhi-belly",drink bottle water risk,0.0,0.0
Use credit card for all transactions,use credit card,0.0,0.0
Use credit card points for flights,use credit card point flight,0.0,0.0
Pre-book attractions with long queues to save time,attraction long save time,-0.05,0.4
Relax,relax,0.0,0.0
Don’t be overambitious and end up not enjoying yourself,,0.0,0.0
Don't be afraid to take a break,afraid break,-0.6,0.9
Use points and upgrade everything,use point everything,0.0,0.0
Make an effort ,make effort,0.0,0.0
Do less research and find out for yourself,le research find,0.0,0.0
Say yes ,say yes,0.0,0.0
Keep an open mind,keep open mind,0.0,0.5
Relax and enjoy! ,relax enjoy,0.4,0.5
"Fuck it, we'll do it live.",fuck well live,-0.13181818181818183,0.55
Be flexible,flexible,0.0,0.0
Enjoy the moment,enjoy moment,0.4,0.5
Plans change,plan change,0.0,0.0
Leave  day for wandering and recharging self,leave day self,0.0,0.0
"Eat the local food, it's usually cheaper.",eat local food,0.0,0.0
Shop around.,around,0.0,0.0
dont complain when something doesnt go perfectly enjoy the experience,something enjoy experience,0.4,0.5
"buys head of natives, good prices in markets.",buy native good,0.7,0.6000000000000001
do what works best for you,work best,1.0,0.3
be flexible,flexible,0.0,0.0
"invest in good travel backpack, get fee free checking account",good travel backpack free,0.55,0.7000000000000001
Regional fast food is a delicacy within itself,food,0.0,0.0
Don't go on tours unless necessary,tour,0.0,0.0
Get a little lost ,little lost,-0.1875,0.5
Go with the flow,flow,0.0,0.0
"Have a list of ideas and how-tos, wing it from there.",idea wing,0.0,0.0
Somewhere warm and lively,somewhere,0.0,0.0
Put down your phone and ask a local ,put phone local,0.0,0.0
"Don't worry so much, things will work out",worry much work,0.2,0.2
Plan time for sfun,plan time,0.0,0.0
never say no to an experience ,never say experience,0.0,0.0
Keep your important items separate,keep important,0.4,1.0
Do someting that you'll never do otherwise,something you never,0.0,0.0
Be open to changing your itinerary,open itinerant,0.0,0.5
Spend more money and less time,money le time,0.0,0.0
Dont worry,worry,0.0,0.0
Just have fun,fun,0.3,0.2
Be alert,alert,0.0,0.0
Say yes,say yes,0.0,0.0
"Plan to have an idea, not to follow through exactly",plan idea follow,0.0,0.0
Don't just do the main cities,city,0.0,0.0
Be spontaneous,spontaneous,0.6,0.9
Always bring your valuables with you no matter what,bring,0.0,0.0
Be Flexible,flexible,0.0,0.0
Don't be cheap,cheap,0.4,0.7
"Relax, wander and try new things out! Enjoy yourself.",relax new enjoy,0.2681818181818182,0.4772727272727273
Don't drink alcohol and stay twice as long,drink stay long,-0.05,0.4
"Research and plan ahead, but remain flexible and spontaneous",research plan flexible spontaneous,0.6,0.9
try to blend in with locals,blend local,0.0,0.0
"Do not plan too much, be spontaneous",plan much spontaneous,0.6,0.9
Switching to AirBnb from hotels changed ,hotel,0.0,0.0
Have fun and enjoy,fun enjoy,0.35,0.35
Eat outside of the big cities,eat outside big city,0.0,0.07500000000000001
do not get carried away with money,away money,0.0,0.0
