words,tf,idf,tfidf
eat,14.0,3.6635616461296463,51.289863045815046
new,12.0,4.189654742026425,50.2758569043171
somewhere,11.0,4.356708826689592,47.92379709358551
solo,11.0,4.356708826689592,47.92379709358551
like,11.0,4.356708826689592,47.92379709358551
dont,11.0,4.356708826689592,47.92379709358551
park,11.0,4.356708826689592,47.92379709358551
place,10.0,4.4520190064939165,44.52019006493917
light,10.0,4.4520190064939165,44.52019006493917
much,9.0,4.557379522151743,41.01641569936569
paris,9.0,4.557379522151743,41.01641569936569
mountain,9.0,4.557379522151743,41.01641569936569
live,9.0,4.4520190064939165,40.06817105844525
national,9.0,4.356708826689592,39.210379440206324
rome,8.0,4.675162557808126,37.40130046246501
swim,8.0,4.557379522151743,36.459036177213946
culture,7.0,4.808693950432649,33.66085765302854
canyon,7.0,4.808693950432649,33.66085765302854
something,7.0,4.808693950432649,33.66085765302854
grand,7.0,4.808693950432649,33.66085765302854
