words,tf,idf,tfidf
culture,166.0,6.754604099487962,1121.2642805150017
new,222.0,4.356708826689592,967.1893595250892
food,78.0,5.655991810819852,441.1673612439485
world,79.0,4.356708826689592,344.17999730847777
adventure,54.0,4.675162557808126,252.4587781216388
people,47.0,5.3683097383680725,252.31055770329937
place,53.0,4.557379522151743,241.5411146740424
nature,31.0,6.754604099487962,209.39272708412685
life,31.0,6.754604099487962,209.39272708412685
history,28.0,6.754604099487962,189.1289147856629
curiosity,33.0,5.3683097383680725,177.1542213661464
experiencing,26.0,6.754604099487962,175.61970658668704
learning,24.0,6.061456918928018,145.47496605427241
exploration,21.0,6.754604099487962,141.84668608924719
freedom,14.0,6.754604099487962,94.56445739283147
getting,16.0,5.655991810819852,90.49586897311764
landscape,13.0,6.754604099487962,87.80985329334352
love,19.0,4.2696974496999625,81.12425154429927
learn,12.0,6.754604099487962,81.05524919385554
much,12.0,6.754604099487962,81.05524919385554
