words,tf,idf,tfidf
pay,3.0,5.655991810819852,16.967975432459557
way,3.0,5.145166187053862,15.435498561161586
multiple,3.0,5.655991810819852,16.967975432459557
flexible,33.0,3.258096538021482,107.5171857547089
stay,12.0,4.269697449699962,51.23636939639954
watch,2.0,6.061456918928017,12.122913837856034
walking,2.0,6.061456918928017,12.122913837856034
car,4.0,3.8101651203215217,15.240660481286087
place,6.0,4.962844630259907,29.777067781559442
trip,7.0,4.808693950432649,33.66085765302854
cheap,8.0,4.675162557808126,37.40130046246501
lot,2.0,4.962844630259907,9.925689260519814
walk,4.0,4.962844630259907,19.851378521039628
live,4.0,5.368309738368072,21.473238953472286
explore,5.0,5.145166187053862,25.725830935269308
fun,10.0,4.4520190064939165,44.520190064939165
rush,2.0,6.061456918928017,12.122913837856034
much,10.0,4.4520190064939165,44.520190064939165
book,3.0,5.655991810819852,16.967975432459557
couple,2.0,6.061456918928017,12.122913837856034
enjoy,13.0,4.189654742026425,54.46551164634353
plan,48.0,2.862783801377336,137.41362246611212
moment,5.0,5.145166187053862,25.725830935269308
people,7.0,4.808693950432649,33.66085765302854
open,13.0,3.982015377248181,51.766199904226355
airport,3.0,5.655991810819852,16.967975432459557
buy,4.0,5.368309738368072,21.473238953472286
toilet,2.0,6.061456918928017,12.122913837856034
save,3.0,5.655991810819852,16.967975432459557
food,10.0,4.4520190064939165,44.520190064939165
slow,4.0,5.368309738368072,21.473238953472286
work,3.0,5.655991810819852,16.967975432459557
gas,2.0,6.061456918928017,12.122913837856034
download,2.0,6.061456918928017,12.122913837856034
map,7.0,4.962844630259907,34.73991241181935
without,2.0,6.061456918928017,12.122913837856034
think,4.0,5.368309738368072,21.473238953472286
money,10.0,4.4520190064939165,44.520190064939165
need,3.0,5.655991810819852,16.967975432459557
regret,2.0,6.061456918928017,12.122913837856034
might,2.0,6.061456918928017,12.122913837856034
time,15.0,4.189654742026425,62.844821130396376
leave,9.0,4.557379522151743,41.01641569936569
spontaneity,2.0,6.061456918928017,12.122913837856034
rent,2.0,4.675162557808126,9.350325115616252
start,2.0,6.061456918928017,12.122913837856034
traveling,3.0,5.655991810819852,16.967975432459557
stop,2.0,6.061456918928017,12.122913837856034
use,9.0,4.557379522151743,41.01641569936569
fine,2.0,6.061456918928017,12.122913837856034
comfort,6.0,4.675162557808126,28.05097534684876
zone,5.0,5.145166187053862,25.725830935269308
risk,2.0,6.061456918928017,12.122913837856034
see,6.0,4.675162557808126,28.05097534684876
something,6.0,4.962844630259907,29.777067781559442
one,6.0,0.7531892215268122,4.519135329160873
put,2.0,6.061456918928017,12.122913837856034
away,2.0,6.061456918928017,12.122913837856034
phone,4.0,5.368309738368072,21.473238953472286
beaten,7.0,4.808693950432649,33.66085765302854
mind,4.0,4.808693950432649,19.234775801730596
good,5.0,5.145166187053862,25.725830935269308
shoe,4.0,5.368309738368072,21.473238953472286
pack,27.0,3.258096538021482,87.96860652658002
light,24.0,3.320616895002816,79.69480548006759
curious,3.0,5.655991810819852,16.967975432459557
yes,5.0,5.145166187053862,25.725830935269308
say,6.0,4.962844630259907,29.777067781559442
wont,2.0,6.061456918928017,12.122913837856034
want,4.0,5.368309738368072,21.473238953472286
back,5.0,4.557379522151743,22.786897610758714
le,10.0,2.2220046063347065,22.220046063347066
local,24.0,3.5765502691400166,85.8372064593604
destination,5.0,5.145166187053862,25.725830935269308
pick,2.0,6.061456918928017,12.122913837856034
weight,2.0,6.061456918928017,12.122913837856034
experience,18.0,3.8642323415917974,69.55618214865235
